,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link,Category
2442,Gorenje GS520E15S,Шифра: 75252,"23,999 Ден.","21,669 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/gorenje-gs520e15s75252,https://setec.mk/image/cache/catalog/Product/75252_0-228x228.jpg,Бела Техника
2443,WHIRLPOOL WSFC 3M27X,Шифра: 78016,"24,999 Ден.","21,669 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм?product_id=78016,https://setec.mk/image/cache/catalog/Product/78016_0-228x228.jpg,Бела Техника
2444,Electrolux ESA12100SW,Шифра: 74145,"28,999 Ден.","22,889 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/electrolux-esa12100sw74145,https://setec.mk/image/cache/catalog/Product/74145_0-228x228.jpg,Бела Техника
2445,Electrolux ESA12110SW,Шифра: 76679,"29,999 Ден.","26,059 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/electrolux-esa12110sw76679,https://setec.mk/image/cache/catalog/Product/76679_0-228x228.jpg,Бела Техника
2446,Electrolux ESG42310SX,Шифра: 76673,"34,999 Ден.","32,179 Ден.",-8%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/electrolux-esg42310sx76673,https://setec.mk/image/cache/catalog/Product/76673_0-228x228.jpg,Бела Техника
2447,BOSCH SPS2HKI42E,Шифра: 78307,"43,999 Ден.","35,909 Ден.",-18%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм?product_id=78307,https://setec.mk/image/cache/catalog/Product/78307_0-228x228.jpg,Бела Техника
2448,BOSCH SPS2IKW04E,Шифра: 74588,"42,999 Ден.","36,079 Ден.",-16%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/bosch-sps2ikw04e74588,https://setec.mk/image/cache/catalog/Product/74588_0-228x228.jpg,Бела Техника
2449,BOSCH SPS2HKI57E,Шифра: 74589,"41,999 Ден.","38,029 Ден.",-9%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/bosch-sps2hki57e74589,https://setec.mk/image/cache/catalog/Product/74589_0-228x228.jpg,Бела Техника
2450,MIDEA WQP12-5201-DW,Шифра: 73358,"19,999 Ден.","12,999 Ден.",-35%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/midea-wqp12-5201-dw73358,https://setec.mk/image/cache/catalog/Product/73358_0-228x228.jpg,Бела Техника
2451,ST DWF60M61W,Шифра: 78624,"14,999 Ден.","12,999 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78624,https://setec.mk/image/https://setec.mk/image/catalog/Product/78624_0.jpg,Бела Техника
2452,TELEFUNKEN TDW C14,Шифра: 68734,"16,999 Ден.","13,859 Ден.",-18%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/telefunken-tdw-c1468734,https://setec.mk/image/cache/catalog/Product/68734_0-228x228.jpg,Бела Техника
2453,ST DWF60M61S,Шифра: 78625,"15,999 Ден.","13,999 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78625,https://setec.mk/image/https://setec.mk/image/catalog/Product/78625_0.jpg,Бела Техника
